2

730, 26, 3
579, 0, 0
213, 10, 2
158, 20, 2
247, 7, 0
389, 0, 2
302, 15, 2
513, 27, 2
553, 0, 3
340, 14, 3
492, 22, 0
279, 7, 1
535, 20, 3
389, 16, 1
122, 24, 3
526, 16, 0
410, 5, 3
294, 21, 2
55, 20, 3
690, 20, 3
350, 10, 0
689, 2, 0
467, 20, 2
471, 21, 1
441, 3, 2
644, 15, 1
635, 13, 2
139, 18, 0
481, 21, 3
77, 23, 1
54, 0, 0
258, 6, 3
118, 13, 2
689, 12, 3
445, 18, 2
341, 24, 2
25, 20, 2
217, 24, 1
701, 27, 3
178, 13, 0
607, 24, 2
269, 0, 2
632, 9, 0
488, 8, 2
288, 19, 1
323, 9, 2
345, 16, 1
606, 25, 3
285, 6, 1
429, 8, 3
381, 28, 1
314, 23, 3
630, 1, 0
624, 28, 3
45, 19, 1
353, 15, 3
237, 12, 1
243, 21, 3
571, 5, 1
444, 21, 3
544, 17, 0
7, 9, 3
292, 11, 0
516, 2, 3
611, 14, 0
471, 11, 1
603, 4, 3
503, 0, 0
662, 13, 3
245, 13, 1
39, 1, 2
329, 22, 3
29, 17, 3
472, 20, 1
448, 8, 0
93, 18, 1
601, 3, 1
405, 0, 2
566, 11, 3
381, 6, 2
37, 15, 0
317, 17, 1
704, 23, 0
442, 21, 2
21, 21, 3
178, 8, 3
594, 18, 3
603, 14, 2
402, 21, 2
166, 0, 2
17, 6, 1
656, 12, 1
92, 3, 1
373, 20, 3
583, 21, 1
603, 5, 0
452, 5, 0
241, 24, 0
418, 21, 1
176, 0, 2

159, 18, 0
156, 25, 2
478, 22, 1
271, 0, 0
727, 0, 3
389, 0, 2
241, 4, 3
89, 20, 0
106, 14, 2
16, 28, 2
411, 10, 2
462, 22, 2
24, 19, 1
580, 27, 3
119, 20, 2
388, 21, 0
428, 5, 1
715, 26, 1
632, 9, 2
192, 7, 2
337, 13, 0
305, 13, 1
144, 2, 3
572, 2, 1
563, 9, 1
644, 15, 1
635, 13, 2
152, 9, 3
173, 13, 2
581, 21, 0
705, 28, 2
262, 25, 2
7, 18, 1
203, 13, 1
505, 12, 1
610, 13, 1
702, 13, 3
533, 13, 2
701, 27, 3
96, 13, 0
586, 12, 1
175, 25, 1
71, 24, 3
474, 9, 1
288, 19, 1
359, 20, 0
345, 16, 1
606, 25, 3
665, 8, 0
429, 8, 3
381, 28, 1
286, 15, 3
715, 4, 2
495, 1, 0
45, 19, 1
607, 26, 2
237, 12, 1
439, 25, 0
35, 7, 1
444, 21, 3
544, 17, 0
7, 9, 3
292, 11, 0
516, 2, 3
611, 14, 0
636, 26, 0
603, 4, 3
504, 2, 2
450, 10, 2
600, 10, 3
191, 7, 3
176, 7, 0
436, 11, 1
683, 6, 1
162, 3, 3
140, 1, 0
451, 15, 3
167, 7, 1
278, 24, 0
539, 19, 1
337, 27, 2
328, 15, 0
563, 17, 3
301, 4, 0
94, 24, 3
104, 15, 2
684, 23, 2
355, 4, 0
241, 20, 3
331, 11, 3
181, 23, 0
694, 19, 3
156, 21, 3
689, 7, 1
624, 15, 0
545, 20, 0
624, 1, 3
511, 17, 1
569, 16, 2
548, 7, 2
